time,zone,entry,exit,total_people
2026-03-05 20:47:12.604313,Zone2,0,0,1
2026-03-05 20:47:12.605311,Zone1,0,0,2
2026-03-05 20:47:12.735631,Zone2,0,0,2
2026-03-05 20:47:12.735631,Zone1,0,0,2
2026-03-05 20:47:12.863093,Zone2,0,0,2
2026-03-05 20:47:12.864099,Zone1,0,0,2
2026-03-05 20:47:12.976514,Zone2,0,0,2
2026-03-05 20:47:12.977516,Zone1,0,0,2
2026-03-05 20:47:13.102273,Zone2,0,0,2
2026-03-05 20:47:13.103284,Zone1,0,0,2
2026-03-05 20:47:13.218997,Zone2,0,0,2
2026-03-05 20:47:13.220506,Zone1,0,0,2
2026-03-05 20:47:13.351229,Zone2,0,0,2
2026-03-05 20:47:13.352236,Zone1,0,0,2
2026-03-05 20:47:13.459248,Zone2,0,0,2
2026-03-05 20:47:13.460250,Zone1,0,0,2
2026-03-05 20:47:13.591410,Zone2,0,0,2
2026-03-05 20:47:13.592416,Zone1,0,0,2
2026-03-05 20:47:13.695783,Zone2,0,0,2
2026-03-05 20:47:13.696783,Zone1,0,0,2
2026-03-05 20:47:13.810073,Zone2,0,0,2
2026-03-05 20:47:13.810581,Zone1,0,0,2
2026-03-05 20:47:13.916034,Zone2,0,0,2
2026-03-05 20:47:13.917036,Zone1,0,0,2
2026-03-05 20:47:14.043686,Zone2,0,0,2
2026-03-05 20:47:14.044692,Zone1,0,0,2
2026-03-05 20:47:14.175708,Zone2,0,0,2
2026-03-05 20:47:14.176710,Zone1,0,0,2
2026-03-05 20:47:14.300511,Zone2,0,0,2
2026-03-05 20:47:14.300511,Zone1,0,0,2
2026-03-05 20:47:14.420698,Zone2,0,0,2
2026-03-05 20:47:14.420698,Zone1,0,0,2
2026-03-05 20:47:14.536013,Zone2,0,0,2
2026-03-05 20:47:14.537014,Zone1,0,0,2
2026-03-05 20:47:14.648396,Zone2,0,0,2
2026-03-05 20:47:14.648396,Zone1,0,0,2
2026-03-05 20:47:14.764522,Zone2,0,0,2
2026-03-05 20:47:14.765027,Zone1,0,0,2
2026-03-05 20:47:14.875112,Zone2,0,0,2
2026-03-05 20:47:14.875112,Zone1,0,0,2
2026-03-05 20:47:14.993703,Zone2,0,0,2
2026-03-05 20:47:14.994713,Zone1,0,0,2
2026-03-05 20:47:15.111577,Zone2,0,0,2
2026-03-05 20:47:15.112578,Zone1,0,0,2
2026-03-05 20:47:15.217012,Zone2,0,0,2
2026-03-05 20:47:15.218516,Zone1,0,0,2
2026-03-05 20:47:15.349403,Zone2,0,0,2
2026-03-05 20:47:15.349403,Zone1,0,0,2
2026-03-05 20:47:15.467495,Zone2,0,0,2
2026-03-05 20:47:15.467495,Zone1,0,0,2
2026-03-05 20:47:15.583228,Zone2,0,0,2
2026-03-05 20:47:15.583733,Zone1,0,0,2
2026-03-05 20:47:15.701803,Zone2,0,0,2
2026-03-05 20:47:15.701803,Zone1,0,0,2
2026-03-05 20:47:15.810937,Zone2,0,0,2
2026-03-05 20:47:15.812948,Zone1,0,0,2
2026-03-05 20:47:15.927094,Zone2,0,0,2
2026-03-05 20:47:15.928096,Zone1,0,0,2
2026-03-05 20:47:16.040178,Zone2,0,0,2
2026-03-05 20:47:16.040178,Zone1,0,0,2
2026-03-05 20:47:16.197970,Zone2,0,0,2
2026-03-05 20:47:16.197970,Zone1,0,0,2
2026-03-05 20:47:16.307574,Zone2,0,0,2
2026-03-05 20:47:16.309079,Zone1,0,0,2
2026-03-05 20:47:16.422743,Zone2,0,0,2
2026-03-05 20:47:16.424277,Zone1,0,0,2
2026-03-05 20:47:16.538861,Zone2,0,0,2
2026-03-05 20:47:16.539861,Zone1,0,0,2
2026-03-05 20:47:16.659732,Zone2,0,0,2
2026-03-05 20:47:16.661239,Zone1,0,0,2
2026-03-05 20:47:16.779252,Zone2,0,0,2
2026-03-05 20:47:16.779252,Zone1,0,0,2
2026-03-05 20:47:16.895355,Zone2,0,0,2
2026-03-05 20:47:16.896355,Zone1,0,0,2
2026-03-05 20:47:17.011258,Zone2,0,0,2
2026-03-05 20:47:17.011769,Zone1,0,0,2
2026-03-05 20:47:17.126773,Zone2,0,0,2
2026-03-05 20:47:17.127774,Zone1,0,0,2
2026-03-05 20:47:17.242252,Zone2,0,0,2
2026-03-05 20:47:17.243251,Zone1,0,0,2
2026-03-05 20:47:17.351456,Zone2,0,0,2
2026-03-05 20:47:17.352459,Zone1,0,0,2
2026-03-05 20:47:17.459769,Zone2,0,0,2
2026-03-05 20:47:17.461276,Zone1,0,0,2
2026-03-05 20:47:17.577213,Zone2,0,0,2
2026-03-05 20:47:17.578212,Zone1,0,0,2
2026-03-05 20:47:17.694333,Zone2,0,0,2
2026-03-05 20:47:17.694862,Zone1,0,0,2
2026-03-05 20:47:17.808879,Zone2,0,0,2
2026-03-05 20:47:17.808879,Zone1,0,0,2
2026-03-05 20:47:17.930508,Zone2,0,0,2
2026-03-05 20:47:17.931514,Zone1,0,0,2
2026-03-05 20:47:18.039055,Zone2,0,0,2
2026-03-05 20:47:18.040055,Zone1,0,0,2
2026-03-05 20:47:18.153258,Zone2,0,0,2
2026-03-05 20:47:18.153258,Zone1,0,0,2
2026-03-05 20:47:18.270079,Zone2,0,0,2
2026-03-05 20:47:18.270079,Zone1,0,0,2
2026-03-05 20:47:18.470786,Zone2,0,0,2
2026-03-05 20:47:18.471796,Zone1,0,0,2
2026-03-05 20:47:18.630820,Zone2,0,0,2
2026-03-05 20:47:18.631829,Zone1,0,0,2
2026-03-05 20:47:18.745619,Zone2,0,0,2
2026-03-05 20:47:18.746125,Zone1,0,0,2
2026-03-05 20:47:18.862865,Zone2,0,0,2
2026-03-05 20:47:18.863864,Zone1,0,0,2
2026-03-05 20:47:18.974675,Zone2,0,0,2
2026-03-05 20:47:18.975198,Zone1,0,0,2
2026-03-05 20:47:19.083442,Zone2,0,0,2
2026-03-05 20:47:19.084951,Zone1,0,0,2
2026-03-05 20:47:19.192670,Zone2,0,0,2
2026-03-05 20:47:19.193670,Zone1,0,0,2
2026-03-05 20:47:19.293570,Zone2,0,0,2
2026-03-05 20:47:19.295079,Zone1,0,0,2
2026-03-05 20:47:19.416358,Zone2,0,0,2
2026-03-05 20:47:19.417366,Zone1,0,0,2
2026-03-05 20:47:19.520229,Zone2,0,0,2
2026-03-05 20:47:19.520229,Zone1,0,0,2
2026-03-05 20:47:19.632948,Zone2,0,0,2
2026-03-05 20:47:19.633950,Zone1,0,0,2
2026-03-05 20:47:19.746002,Zone2,0,0,2
2026-03-05 20:47:19.746507,Zone1,0,0,2
2026-03-05 20:47:19.870116,Zone2,0,0,2
2026-03-05 20:47:19.870116,Zone1,0,0,2
2026-03-05 20:47:19.976646,Zone2,0,0,2
2026-03-05 20:47:19.976646,Zone1,0,0,2
2026-03-05 20:47:20.096274,Zone2,0,0,2
2026-03-05 20:47:20.096274,Zone1,0,0,2
2026-03-05 20:47:20.210732,Zone2,0,0,2
2026-03-05 20:47:20.210732,Zone1,0,0,2
2026-03-05 20:47:20.326885,Zone2,0,0,2
2026-03-05 20:47:20.327891,Zone1,0,0,2
2026-03-05 20:47:20.438216,Zone2,0,0,2
2026-03-05 20:47:20.439224,Zone1,0,0,2
2026-03-05 20:47:20.552396,Zone2,0,0,2
2026-03-05 20:47:20.552396,Zone1,0,0,2
2026-03-05 20:47:20.681204,Zone2,0,0,2
2026-03-05 20:47:20.682204,Zone1,0,0,2
2026-03-05 20:47:20.801299,Zone2,0,0,2
2026-03-05 20:47:20.801299,Zone1,0,0,2
2026-03-05 20:47:20.917179,Zone2,0,0,2
2026-03-05 20:47:20.918187,Zone1,0,0,2
2026-03-05 20:47:21.029615,Zone2,0,0,2
2026-03-05 20:47:21.030614,Zone1,0,0,2
2026-03-05 20:47:21.142372,Zone2,0,0,2
2026-03-05 20:47:21.143376,Zone1,0,0,2
2026-03-05 20:47:21.262242,Zone1,0,0,2
2026-03-05 20:47:21.263249,Zone1,0,0,2
2026-03-05 20:47:21.423510,Zone1,0,0,2
2026-03-05 20:47:21.424512,Zone1,0,0,2
2026-03-05 20:47:21.548316,Zone2,0,0,2
2026-03-05 20:47:21.549324,Zone1,0,0,2
2026-03-05 20:47:21.678412,Zone2,0,0,2
2026-03-05 20:47:21.678412,Zone1,0,0,2
2026-03-05 20:47:21.679410,Zone2,0,0,3
2026-03-05 20:47:21.803371,Zone2,0,0,3
2026-03-05 20:47:21.803371,Zone1,0,0,3
2026-03-05 20:47:21.804377,Zone2,0,0,3
2026-03-05 20:47:21.804377,Zone2,0,0,4
2026-03-05 20:47:21.932646,Zone1,0,0,4
2026-03-05 20:47:21.932646,Zone1,0,0,4
2026-03-05 20:47:21.934153,Zone2,0,0,4
2026-03-05 20:47:21.934153,Zone2,0,0,4
2026-03-05 20:47:22.062361,Zone1,0,0,4
2026-03-05 20:47:22.062867,Zone1,0,0,4
2026-03-05 20:47:22.062867,Zone2,0,0,4
2026-03-05 20:47:22.062867,Zone2,0,0,4
2026-03-05 20:47:22.186966,Zone1,0,0,4
2026-03-05 20:47:22.186966,Zone1,0,0,4
2026-03-05 20:47:22.188164,Zone2,0,0,4
2026-03-05 20:47:22.188164,Zone2,0,0,4
2026-03-05 20:47:22.311556,Zone1,0,0,4
2026-03-05 20:47:22.312062,Zone1,0,0,4
2026-03-05 20:47:22.312062,Zone2,0,0,4
2026-03-05 20:47:22.313069,Zone2,0,0,4
2026-03-05 20:47:22.431568,Zone1,0,0,4
2026-03-05 20:47:22.431568,Zone1,0,0,4
2026-03-05 20:47:22.432567,Zone2,0,0,4
2026-03-05 20:47:22.432567,Zone2,0,0,4
2026-03-05 20:47:22.552809,Zone1,0,0,4
2026-03-05 20:47:22.552809,Zone1,0,0,4
2026-03-05 20:47:22.552809,Zone2,0,0,4
2026-03-05 20:47:22.554315,Zone2,0,0,4
2026-03-05 20:47:22.679739,Zone1,0,0,4
2026-03-05 20:47:22.679739,Zone1,0,0,4
2026-03-05 20:47:22.679739,Zone2,0,0,4
2026-03-05 20:47:22.681246,Zone2,0,0,4
2026-03-05 20:47:22.803296,Zone1,0,0,4
2026-03-05 20:47:22.803296,Zone1,0,0,4
2026-03-05 20:47:22.803296,Zone2,0,0,4
2026-03-05 20:47:22.804802,Zone2,0,0,4
2026-03-05 20:47:22.804802,Zone2,0,0,5
2026-03-05 20:47:22.925585,Zone1,0,0,5
2026-03-05 20:47:22.926595,Zone1,0,0,5
2026-03-05 20:47:22.927099,Zone2,0,0,5
2026-03-05 20:47:22.927099,Zone2,0,0,5
2026-03-05 20:47:22.928105,Zone2,0,0,5
2026-03-05 20:47:23.046910,Zone1,0,0,5
2026-03-05 20:47:23.048131,Zone1,0,0,5
2026-03-05 20:47:23.049128,Zone2,0,0,5
2026-03-05 20:47:23.049128,Zone2,0,0,5
2026-03-05 20:47:23.050129,Zone2,0,0,5
2026-03-05 20:47:23.184193,Zone1,0,0,5
2026-03-05 20:47:23.184700,Zone1,0,0,5
2026-03-05 20:47:23.184700,Zone2,0,0,5
2026-03-05 20:47:23.185707,Zone2,0,0,5
2026-03-05 20:47:23.186214,Zone2,0,0,5
2026-03-05 20:47:23.305926,Zone1,0,0,5
2026-03-05 20:47:23.307440,Zone1,0,0,5
2026-03-05 20:47:23.307440,Zone2,0,0,5
2026-03-05 20:47:23.431266,Zone1,0,0,5
2026-03-05 20:47:23.432771,Zone1,0,0,5
2026-03-05 20:47:23.432771,Zone2,0,0,5
2026-03-05 20:47:23.433782,Zone2,0,0,5
